tau1,tau2,tau3,tau4,tau5,tau6
-9.351418220103717,-18.21124181691073,-0.22885161191004394,-0.6822693241946893,-1.4096642272786908,-0.005814546417648155
-9.333729976283244,-18.16249241859269,-0.279380796116082,-0.6805543694629109,-1.407336692848776,-0.005773222782134921
-9.315724204648662,-18.114307678975344,-0.32957193598789575,-0.678842968022147,-1.405031786352925,-0.005732060393661384
-9.29740938465326,-18.066683269021677,-0.37942441913932035,-0.6771351935072312,-1.402749438599824,-0.005691060503621446
-9.278793933911968,-18.019614850041833,-0.4289376793651474,-0.6754311206090696,-1.4004895782928282,-0.005650224367764431
-9.259886204491623,-17.973098072996954,-0.478111195606719,-0.6737308248077758,-1.398252131877593,-0.005609553244273347
-9.24069447842751,-17.927128580575996,-0.5269444902024112,-0.6720343820517383,-1.3960370236192576,-0.005569048390503776
-9.221226973052046,-17.88170200907151,-0.5754371308291627,-0.6703418691133461,-1.3938441757346707,-0.005528711066981792
-9.201491838133757,-17.836813988330498,-0.6235887260679303,-0.6686533635308958,-1.3916735083075547,-0.00548854253395049
-9.181497152563765,-17.792460144989967,-0.6713989283179906,-0.6669689431690097,-1.389524939475961,-0.00544854405099217
-9.161250931419456,-17.748636101658132,-0.7188674306514414,-0.6652886869545797,-1.387398385357952,-0.0054087168796706185
-9.140761116374122,-17.705337479384305,-0.7659939673280127,-0.6636126740011096,-1.385293760133528,-0.005369062278676206
-9.120035582954973,-17.66255989900015,-0.8127783121242906,-0.6619409842814549,-1.3832109761574582,-0.00532958150689961
-9.099082136077334,-17.620298980947776,-0.8592202794805632,-0.6602736981763145,-1.3811499438585795,-0.005290275822113628
-9.077908511224077,-17.578550347747907,-0.9053197207781039,-0.6586108966980075,-1.379110571908091,-0.005251146479535955
-9.056522373862846,-17.53730962595586,-0.9510765268258599,-0.6569526613045912,-1.3770927673312032,-0.005212194732778
-9.034931319215653,-17.496572442293715,-0.9964906252860257,-0.6552990739788302,-1.3750964351299024,-0.005173421833546228
-9.013142871992192,-17.456334432672215,-1.0415619802928666,-0.6536502171512963,-1.3731214790022532,-0.005134829029812781
-8.991164487355775,-17.416591237340477,-1.0862905920594152,-0.6520061737940607,-1.3711678008932746,-0.005096417567424688
-8.96900354693663,-17.377338500977544,-1.130676496027685,-0.6503670270767091,-1.3692353009306006,-0.005058188687929711
-8.9466673649766,-17.33857188026505,-1.1747197621506236,-0.6487328608624989,-1.367323878074365,-0.005020143630137177
-8.92416318318424,-17.30028703913746,-1.2184204945771244,-0.6471037592616222,-1.3654334296358737,-0.004982283628562352
-8.901498169421181,-17.262479648780925,-1.2617788298410453,-0.6454798065500096,-1.3635638512301773,-0.004944609912169313
-8.87867942632055,-17.22514539620278,-1.304794938313218,-0.6438610877908859,-1.361715037534935,-0.004907123707990574
-8.855713980179491,-17.18827997571023,-1.3474690206072528,-0.6422476880021509,-1.359886881447788,-0.004869826235702147
-8.8326087859346,-17.151879094792232,-1.389801309966506,-0.6406396924334252,-1.358079274591719,-0.004832718710386028
-8.80937073230622,-17.11593847760194,-1.4317920694037563,-0.6390371870682877,-1.3562921076208383,-0.0047958023432670485
-8.786006630664927,-17.08045385807647,-1.473441591768233,-0.6374402576344584,-1.35452526951989,-0.004759078337735176
-8.762523223945053,-17.045420986225167,-1.514750199273109,-0.6358489903298405,-1.3527786481796,-0.004722547892579226
-8.73892718419731,-17.010835631426414,-1.5557182428050391,-0.6342634715750307,-1.3510521306361354,-0.004686212199961562
-8.715225111773861,-16.976693573427443,-1.5963461009246407,-0.6326837879706624,-1.349345602266459,-0.004650072446522528
-8.691423533090427,-16.942990614165474,-1.6366341793100787,-0.6311100260211916,-1.3476589477646441,-0.0046141298098667394
-8.66752890948398,-16.90972257104446,-1.6765829105079182,-0.6295422729041464,-1.345992050605214,-0.00457838546434083
-8.643547625076485,-16.876885280638394,-1.716192752916999,-0.627980615372472,-1.344344793253455,-0.004542840573977782
-8.619485997049182,-16.84447459913042,-1.755464190157359,-0.626425140628501,-1.3427170572577736,-0.004507496297380017
-8.595350269693046,-16.812486401963216,-1.7943977307080954,-0.6248759357625485,-1.3411087231584835,-0.00447235378482199
-8.571146618686926,-16.78091658549459,-1.8329939066500205,-0.6233330881135739,-1.3395196706444716,-0.004437414179615693
-8.546881147651987,-16.7497610674989,-1.8712532743902495,-0.6217966848857694,-1.337949778556219,-0.004402678616762075
-8.522559890005596,-16.719015786449585,-1.9091764117575534,-0.6202668133577142,-1.336398924822884,-0.004368148222856038
-8.498188810648474,-16.68867670482028,-1.9467639205635254,-0.6187435608789031,-1.334866986746544,-0.004333824117490928
-8.473773803085633,-16.65873980594721,-1.984016422274098,-0.6172270147141871,-1.333353840698586,-0.004299707410694555
-8.449320691161974,-16.629201098283332,-2.0209345607423757,-0.6157172620342986,-1.331859362489709,-0.004265799204234294
-8.424835231071421,-16.600056613030624,-2.057518999828495,-0.614214390124279,-1.3303834271696253,-0.004232100592111864
-8.400323107416419,-16.57130240622139,-2.0937704226530354,-0.6127184859908672,-1.3289259091714452,-0.0041986126580308295
-8.375789937455687,-16.542934558991035,-2.1296895321657776,-0.6112296366622834,-1.3274866823583207,-0.004165336477717067
-8.351241270684666,-16.51494917724257,-2.1652770496197107,-0.6097479291417927,-1.3260656199852354,-0.004132273118203893
-8.326682584932154,-16.48734239294323,-2.2005337140836705,-0.6082734500105125,-1.324662594779558,-0.004099423635581916
-8.302119293086308,-16.460110364507706,-2.2354602827269368,-0.6068062859559356,-1.323277479017761,-0.00406678907833011
-8.277556740466665,-16.433249276463993,-2.2700575285939117,-0.6053465235468448,-1.321910144474994,-0.004034370485255159
-8.253000200727834,-16.406755340512753,-2.30432624192578,-0.6038942487629823,-1.3205604624874678,-0.004002168883930411
-8.228454886336326,-16.380624796131876,-2.3382672281265373,-0.6024495479265005,-1.3192283040770194,-0.003970185294797074
-8.203925938582335,-16.354853909881367,-2.371881308075311,-0.6010125067429791,-1.3179135398216966,-0.003938420726696644
-8.179418433535139,-16.32943897675493,-2.4051693168520787,-0.5995832108024625,-1.3166160400161007,-0.0039068761789869495
-8.154937381643968,-16.3043763203947,-2.438132104362039,-0.5981617454631901,-1.3153356746897997,-0.0038755526415757543
-8.130487727798567,-16.279662292483245,-2.470770533054425,-0.5967481958620902,-1.3140723135574042,-0.003844451094194643
