q1,q2,q3,q4,q5,q6
1.5707963267948966,-0.5235987755982988,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966
1.5707342426559239,-0.5235780808853079,1.5707342426559239,1.5707342426559239,1.5707342426559239,1.5707342426559239
1.5705478758715645,-0.5235159586238548,1.5705478758715645,1.5705478758715645,1.5705478758715645,1.5705478758715645
1.5702370696158174,-0.5234123565386057,1.5702370696158174,1.5702370696158174,1.5702370696158174,1.5702370696158174
1.5698016867708227,-0.5232672289236076,1.5698016867708227,1.5698016867708227,1.5698016867708227,1.5698016867708227
1.5692416100176507,-0.5230805366725503,1.5692416100176507,1.5692416100176507,1.5692416100176507,1.5692416100176507
1.568556741924116,-0.5228522473080386,1.568556741924116,1.568556741924116,1.568556741924116,1.568556741924116
1.5677470050295856,-0.5225823350098618,1.5677470050295856,1.5677470050295856,1.5677470050295856,1.5677470050295856
1.5668123419267543,-0.5222707806422514,1.5668123419267543,1.5668123419267543,1.5668123419267543,1.5668123419267543
1.5657527153403534,-0.5219175717801178,1.5657527153403534,1.5657527153403534,1.5657527153403534,1.5657527153403534
1.564568108202763,-0.5215227027342543,1.564568108202763,1.564568108202763,1.564568108202763,1.564568108202763
1.5632585237264989,-0.5210861745754997,1.5632585237264989,1.5632585237264989,1.5632585237264989,1.5632585237264989
1.5618239854735478,-0.5206079951578493,1.5618239854735478,1.5618239854735478,1.5618239854735478,1.5618239854735478
1.5602645374215158,-0.5200881791405052,1.5602645374215158,1.5602645374215158,1.5602645374215158,1.5602645374215158
1.5585802440265661,-0.5195267480088553,1.5585802440265661,1.5585802440265661,1.5585802440265661,1.5585802440265661
1.556771190283119,-0.518923730094373,1.556771190283119,1.556771190283119,1.556771190283119,1.556771190283119
1.554837481780282,-0.5182791605934273,1.554837481780282,1.554837481780282,1.554837481780282,1.554837481780282
1.552779244754987,-0.5175930815849956,1.552779244754987,1.552779244754987,1.552779244754987,1.552779244754987
1.5505966261418074,-0.5168655420472691,1.5505966261418074,1.5505966261418074,1.5505966261418074,1.5505966261418074
1.548289793619425,-0.5160965978731417,1.548289793619425,1.548289793619425,1.548289793619425,1.548289793619425
1.5458589356537273,-0.5152863118845757,1.5458589356537273,1.5458589356537273,1.5458589356537273,1.5458589356537273
1.5433042615375039,-0.5144347538458346,1.5433042615375039,1.5433042615375039,1.5433042615375039,1.5433042615375039
1.5406260014267212,-0.5135420004755737,1.5406260014267212,1.5406260014267212,1.5406260014267212,1.5406260014267212
1.5378244063733497,-0.5126081354577832,1.5378244063733497,1.5378244063733497,1.5378244063733497,1.5378244063733497
1.5348997483547182,-0.5116332494515727,1.5348997483547182,1.5348997483547182,1.5348997483547182,1.5348997483547182
1.5318523202993768,-0.5106174400997923,1.5318523202993768,1.5318523202993768,1.5318523202993768,1.5318523202993768
1.5286824361094375,-0.5095608120364792,1.5286824361094375,1.5286824361094375,1.5286824361094375,1.5286824361094375
1.5253904306793806,-0.5084634768931268,1.5253904306793806,1.5253904306793806,1.5253904306793806,1.5253904306793806
1.5219766599112936,-0.5073255533037645,1.5219766599112936,1.5219766599112936,1.5219766599112936,1.5219766599112936
1.5184415007265328,-0.5061471669088442,1.5184415007265328,1.5184415007265328,1.5184415007265328,1.5184415007265328
1.5147853510737765,-0.5049284503579254,1.5147853510737765,1.5147853510737765,1.5147853510737765,1.5147853510737765
1.5110086299334582,-0.5036695433111528,1.5110086299334582,1.5110086299334582,1.5110086299334582,1.5110086299334582
1.5071117773185518,-0.5023705924395173,1.5071117773185518,1.5071117773185518,1.5071117773185518,1.5071117773185518
1.5030952542717004,-0.5010317514239001,1.5030952542717004,1.5030952542717004,1.5030952542717004,1.5030952542717004
1.4989595428586575,-0.49965318095288586,1.4989595428586575,1.4989595428586575,1.4989595428586575,1.4989595428586575
1.4947051461580332,-0.4982350487193444,1.4947051461580332,1.4947051461580332,1.4947051461580332,1.4947051461580332
1.4903325882473237,-0.4967775294157745,1.4903325882473237,1.4903325882473237,1.4903325882473237,1.4903325882473237
1.4858424141852056,-0.4952808047284018,1.4858424141852056,1.4858424141852056,1.4858424141852056,1.4858424141852056
1.481235189990083,-0.49374506333002766,1.481235189990083,1.481235189990083,1.481235189990083,1.481235189990083
1.4765115026148692,-0.492170500871623,1.4765115026148692,1.4765115026148692,1.4765115026148692,1.4765115026148692
1.4716719599179875,-0.49055731997266244,1.4716719599179875,1.4716719599179875,1.4716719599179875,1.4716719599179875
1.466717190630579,-0.48890573021019296,1.466717190630579,1.466717190630579,1.466717190630579,1.466717190630579
1.461647844319902,-0.48721594810663393,1.461647844319902,1.461647844319902,1.461647844319902,1.461647844319902
1.4564645913489114,-0.48548819711630375,1.4564645913489114,1.4564645913489114,1.4564645913489114,1.4564645913489114
1.4511681228320028,-0.48372270761066755,1.4511681228320028,1.4511681228320028,1.4511681228320028,1.4511681228320028
1.4457591505869138,-0.4819197168623046,1.4457591505869138,1.4457591505869138,1.4457591505869138,1.4457591505869138
1.4402384070827678,-0.48007946902758925,1.4402384070827678,1.4402384070827678,1.4402384070827678,1.4402384070827678
1.4346066453842496,-0.4782022151280832,1.4346066453842496,1.4346066453842496,1.4346066453842496,1.4346066453842496
1.4288646390919082,-0.47628821303063607,1.4288646390919082,1.4288646390919082,1.4288646390919082,1.4288646390919082
1.4230131822785703,-0.47433772742619007,1.4230131822785703,1.4230131822785703,1.4230131822785703,1.4230131822785703
1.4170530894218616,-0.47235102980728716,1.4170530894218616,1.4170530894218616,1.4170530894218616,1.4170530894218616
1.410985195332825,-0.47032839844427493,1.410985195332825,1.410985195332825,1.410985195332825,1.410985195332825
1.4048103550806315,-0.4682701183602105,1.4048103550806315,1.4048103550806315,1.4048103550806315,1.4048103550806315
1.3985294439133746,-0.4661764813044582,1.3985294439133746,1.3985294439133746,1.3985294439133746,1.3985294439133746
1.392143357174943,-0.46404778572498095,1.392143357174943,1.392143357174943,1.392143357174943,1.392143357174943
1.385653010217968,-0.4618843367393226,1.385653010217968,1.385653010217968,1.385653010217968,1.385653010217968
1.3790593383128422,-0.4596864461042807,1.3790593383128422,1.3790593383128422,1.3790593383128422,1.3790593383128422
1.3723632965528019,-0.45745443218426723,1.3723632965528019,1.3723632965528019,1.3723632965528019,1.3723632965528019
1.3655658597550735,-0.4551886199183578,1.3655658597550735,1.3655658597550735,1.3655658597550735,1.3655658597550735
1.3586680223580823,-0.4528893407860274,1.3586680223580823,1.3586680223580823,1.3586680223580823,1.3586680223580823
1.3516707983147214,-0.4505569327715737,1.3516707983147214,1.3516707983147214,1.3516707983147214,1.3516707983147214
1.344575220981677,-0.4481917403272257,1.344575220981677,1.344575220981677,1.344575220981677,1.344575220981677
1.3373823430048186,-0.44579411433493954,1.3373823430048186,1.3373823430048186,1.3373823430048186,1.3373823430048186
1.3300932362006443,-0.44336441206688143,1.3300932362006443,1.3300932362006443,1.3300932362006443,1.3300932362006443
1.3227089914337904,-0.4409029971445968,1.3227089914337904,1.3227089914337904,1.3227089914337904,1.3227089914337904
1.3152307184906082,-0.43841023949686936,1.3152307184906082,1.3152307184906082,1.3152307184906082,1.3152307184906082
1.3076595459488018,-0.43588651531626726,1.3076595459488018,1.3076595459488018,1.3076595459488018,1.3076595459488018
1.2999966210431468,-0.43333220701438224,1.2999966210431468,1.2999966210431468,1.2999966210431468,1.2999966210431468
1.2922431095272757,-0.4307477031757585,1.2922431095272757,1.2922431095272757,1.2922431095272757,1.2922431095272757
1.284400195531553,-0.4281333985105176,1.284400195531553,1.284400195531553,1.284400195531553,1.284400195531553
1.2764690814170343,-0.425489693805678,1.2764690814170343,1.2764690814170343,1.2764690814170343,1.2764690814170343
1.2684509876255223,-0.4228169958751741,1.2684509876255223,1.2684509876255223,1.2684509876255223,1.2684509876255223
1.2603471525257255,-0.4201157175085751,1.2603471525257255,1.2603471525257255,1.2603471525257255,1.2603471525257255
1.2521588322555286,-0.4173862774185095,1.2521588322555286,1.2521588322555286,1.2521588322555286,1.2521588322555286
1.2438873005603852,-0.414629100186795,1.2438873005603852,1.2438873005603852,1.2438873005603852,1.2438873005603852
1.2355338486278413,-0.4118446162092804,1.2355338486278413,1.2355338486278413,1.2355338486278413,1.2355338486278413
1.227099784918202,-0.40903326163940057,1.227099784918202,1.227099784918202,1.227099784918202,1.227099784918202
1.2185864349913518,-0.40619547833045055,1.2185864349913518,1.2185864349913518,1.2185864349913518,1.2185864349913518
1.2099951413297438,-0.4033317137765812,1.2099951413297438,1.2099951413297438,1.2099951413297438,1.2099951413297438
1.2013272631575693,-0.4004424210525231,1.2013272631575693,1.2013272631575693,1.2013272631575693,1.2013272631575693
1.1925841762561211,-0.39752805875204034,1.1925841762561211,1.1925841762561211,1.1925841762561211,1.1925841762561211
