tau1,tau2,tau3,tau4,tau5,tau6
0.0,0.0,0.0,0.0,0.0,0.0
-0.09624209795265934,-2.891575780747968,1.4932085175256962,-0.04437317774943396,-1.3198311558748288,0.000213866455515565
-0.06566259167799227,-2.9006114888758963,1.5033871324574413,-0.061503675747505454,-1.3096513524781428,0.004084828070435352
-0.07957130246467688,-2.9058235731536692,1.5305425801805752,-0.03939507414199225,-1.3054847032061305,-0.009943102021330658
-0.0647933851623505,-2.886274476560245,1.4955236600139923,-0.04697510279587838,-1.335505500940087,-0.010400019274492673
-0.0876284793300925,-2.90207703309289,1.4998692037710861,-0.046570025599593806,-1.3160841079794077,0.013207403130413284
-0.056968962230911094,-2.896537750334373,1.519974772705892,-0.056930286838874876,-1.326259750200631,0.002453700082628593
-0.08784005600150849,-2.9178499425182784,1.504379726029417,-0.06691704544543388,-1.3229210861617404,-0.0031280324982137743
-0.0680409092254731,-2.8861048922241284,1.5272281939096815,-0.044598560742600865,-1.3388101138710908,0.0037451380056646106
-0.08272014539073375,-2.8873030808928153,1.543021814706284,-0.0374070362822594,-1.3095726593104644,-0.005401195666235279
-0.08129842993899611,-2.883962953798589,1.5248913027398945,-0.05007738264070785,-1.3374045814359483,0.0017298080250869445
-0.07051079975509533,-2.8913064140978664,1.553578938667117,-0.05754689901118557,-1.3122343009382962,0.01685768150305302
-0.08690391604159318,-2.8871387482933573,1.5238992409703864,-0.032660530979403385,-1.329974199010285,-0.012594820409882013
-0.07523816266584171,-2.8923102709739075,1.5431960276520635,-0.03846211737970584,-1.3253922413820265,0.016985096293356355
-0.08886823628472418,-2.8661714654642108,1.5682845636149534,-0.05244735740314296,-1.2929160156585116,0.016109605997660523
-0.08478218094831184,-2.8661217196479605,1.5596310514557081,-0.03955438177077518,-1.291284823022392,0.013783179863699521
-0.06062408175577724,-2.8955956457487844,1.5765436921205478,-0.051697985473878855,-1.3017957864772007,-0.008226931515136371
-0.05937719542221555,-2.871105673158897,1.5626747728984236,-0.055329201226614,-1.3072359392462392,0.014141346759171359
-0.05692421778125467,-2.8728750314205524,1.5807229459470276,-0.03219436324204804,-1.31386147013737,-0.014805785958770412
-0.07629385414429625,-2.872498031526862,1.610560487573125,-0.01803937340839361,-1.3006856363565058,-0.017700039200943304
-0.06991761123197636,-2.8806538713680054,1.5894090474085445,-0.014560036600966619,-1.3017951113416615,-0.014059397560444989
-0.088341661093914,-2.8489431438327566,1.609319000300242,-0.03539496310531583,-1.2888914530225986,0.00014384663364638188
-0.05734721881824044,-2.866635908006279,1.6247438907010652,-0.029516428736245142,-1.3026349529701042,0.007876972862910878
-0.066952184665191,-2.8624659118095,1.6379980338664164,-0.028864772769432775,-1.2724276195306663,-0.018481825642945354
-0.05303598895641011,-2.8325106908016693,1.626870306836262,-0.008043894534460937,-1.2774121763091517,-0.010227021156051688
-0.06200863593488197,-2.8275019284237675,1.6618913311697403,-0.01862106943984683,-1.2922538620421562,-0.015895094130989718
-0.06783386075242419,-2.842612129596817,1.6584912658442121,-0.028899827261110622,-1.2522353730399134,-0.0061539784746923384
-0.04882657547150658,-2.820417403816876,1.686118559307877,-0.028018148750560398,-1.2800699241964164,0.00870038680545733
-0.05216446806788673,-2.828236024342252,1.6817279163185095,-0.0261199250351917,-1.2648120665574552,0.0014741475562769922
-0.08389866003836419,-2.7980640887756136,1.7139486950423541,0.008308523239859505,-1.2594900913682223,-0.0029847267246142653
-0.07022042717242843,-2.7972224637980045,1.7123978612064956,-0.008323546728867683,-1.2607466575953905,0.001538128945005456
-0.08177919728195876,-2.7982419912235685,1.7453693506087518,0.006292863892634027,-1.2454029931089114,-0.016480891460691954
-0.046945555170335565,-2.800101929526888,1.756838009738566,-0.0013131267793514926,-1.220003326278076,-0.01854904662665497
-0.06140450548097216,-2.777712963028785,1.7586442996104175,0.02749022788147037,-1.2518031763094115,0.005176064367992771
-0.05252771911354284,-2.7651474114492434,1.8005780435003362,0.0025784656274037074,-1.2195772639079532,-0.011573288213728503
-0.04120626798461703,-2.7503804801544782,1.814305463364664,0.010624578302596582,-1.2229346187689396,0.01059015194655252
-0.04948439138274744,-2.7469353123452653,1.8205316628081754,0.04528063846262821,-1.2161933915385947,0.01143769907849857
-0.07786175421036134,-2.7128252179183345,1.832521534384199,0.03176102452634132,-1.1993775484906508,0.0012366050672154454
-0.061801871230950656,-2.703032180070074,1.8467893545798864,0.055386983912454724,-1.196620095546824,0.014365456844472803
