tau1,tau2,tau3,tau4,tau5,tau6
0.08058608323335648,-2.7472527027130127,1.941391944885254,0.19780220091342926,-1.125763177871704,-0.0024420025292783976
0.19780220091342926,-2.5421245098114014,1.9267399311065674,0.19291819632053375,-1.125763177871704,-0.012210012413561344
0.3443223536014557,-2.087912082672119,1.018315076828003,0.17826618254184723,-1.115995168685913,-0.007326007355004549
0.12454212456941605,-2.6886446475982666,1.0622711181640625,0.1587301641702652,-1.125763177871704,-0.007326007355004549
0.19780220091342926,-2.190476179122925,0.9743589758872986,0.14896215498447418,-1.115995168685913,-0.012210012413561344
0.1684981733560562,-2.0146520137786865,0.5641025900840759,0.12942613661289215,-1.125763177871704,-0.017094017937779427
0.1538461595773697,-2.5421245098114014,0.31501832604408264,0.13431014120578766,-1.1306471824645996,-0.021978022530674934
0.24175824224948883,-1.7802197933197021,0.05128205195069313,0.12942613661289215,-1.1648352146148682,-0.026862027123570442
-0.05128205195069313,-1.970695972442627,0.27106228470802307,0.12454212456941605,-1.1746032238006592,-0.026862027123570442
-0.007326007355004549,-1.8681318759918213,0.43223443627357483,0.11477411538362503,-1.1892552375793457,-0.03663003817200661
-0.095238097012043,-1.9560439586639404,0.5641025900840759,0.11477411538362503,-1.1794872283935547,-0.04639804735779762
-0.32967033982276917,-2.703296661376953,0.9157509207725525,0.095238097012043,-1.2087912559509277,-0.05128205195069313
-0.24175824224948883,-2.4835164546966553,0.7985348105430603,0.08058608323335648,-1.2478632926940918,-0.061050061136484146
-0.5347985625267029,-2.0732600688934326,0.5201465487480164,0.08058608323335648,-1.2380952835083008,-0.08547008782625198
-0.06593406945466995,-2.2051281929016113,0.4908424913883209,0.05128205195069313,-1.2625153064727783,-0.095238097012043
-0.5641025900840759,-1.9267399311065674,0.4908424913883209,0.04639804735779762,-1.2429792881011963,-0.09035409241914749
-0.6520146727561951,-1.5604395866394043,0.5201465487480164,0.021978022530674934,-1.306471347808838,-0.12454212456941605
-0.8717948794364929,-1.8388278484344482,1.0915751457214355,0.012210012413561344,-1.2722833156585693,-0.11965811997652054
-0.3589743673801422,-1.355311393737793,0.3443223536014557,-0.012210012413561344,-1.306471347808838,-0.095238097012043
-0.21245421469211578,-0.9597069621086121,0.21245421469211578,-0.007326007355004549,-1.2918193340301514,-0.10989011079072952
-0.2857142984867096,-0.4908424913883209,-0.12454212456941605,-0.0317460335791111,-1.3406593799591064,-0.12454212456941605
0.1538461595773697,-1.0915751457214355,-0.3589743673801422,-0.0317460335791111,-1.306471347808838,-0.10989011079072952
-0.08058608323335648,-0.7692307829856873,0.10989011079072952,0.007326007355004549,-1.2478632926940918,-0.08547008782625198
-0.593406617641449,-1.8388278484344482,1.1794872283935547,-0.007326007355004549,-1.2087912559509277,-0.11477411538362503
-0.37362638115882874,-2.087912082672119,1.0329670906066895,-0.007326007355004549,-1.3504273891448975,-0.10989011079072952
-0.37362638115882874,-1.32600736618042,0.8717948794364929,0.017094017937779427,-1.4871795177459717,-0.08547008782625198
-0.25641027092933655,-1.9853479862213135,0.3003663122653961,0.012210012413561344,-1.5848596096038818,-0.10989011079072952
-0.1538461595773697,-1.5164835453033447,0.8131868243217468,0.026862027123570442,-1.5799756050109863,-0.06593406945466995
-0.2271062284708023,-1.941391944885254,0.5641025900840759,0.017094017937779427,-1.5311355590820312,-0.07081807404756546
-0.27106228470802307,-1.8095238208770752,0.6666666865348816,0.021978022530674934,-1.4383394718170166,-0.06593406945466995
-0.021978022530674934,-1.076923131942749,0.44688645005226135,0.007326007355004549,-1.3211233615875244,-0.06593406945466995
-0.32967033982276917,-1.8827838897705078,0.593406617641449,0.017094017937779427,-1.2576313018798828,-0.07570207864046097
-0.44688645005226135,-1.443223476409912,0.6080586314201355,0.007326007355004549,-1.2039072513580322,-0.06593406945466995
-0.2857142984867096,-1.1941392421722412,0.5201465487480164,0.012210012413561344,-1.2527472972869873,-0.08058608323335648
