tau1,tau2,tau3,tau4,tau5,tau6
0.095238097012043,-3.4212453365325928,2.0146520137786865,0.2222222238779068,-2.23931622505188,0.08547008782625198
-0.095238097012043,-3.5531134605407715,1.2967033386230469,0.20757021009922028,-2.249084234237671,0.08547008782625198
0.18315018713474274,-2.893772840499878,0.7545787692070007,0.17826618254184723,-2.2637362480163574,0.08058608323335648
0.18315018713474274,-2.761904716491699,0.5347985625267029,0.1684981733560562,-2.258852243423462,0.07570207864046097
0.1684981733560562,-2.761904716491699,0.6520146727561951,0.1587301641702652,-2.2637362480163574,0.08058608323335648
0.1684981733560562,-3.4212453365325928,0.25641027092933655,0.1538461595773697,-2.268620252609253,0.07570207864046097
0.1684981733560562,-2.6886446475982666,0.21245421469211578,0.14407815039157867,-2.297924280166626,0.07081807404756546
0.10989011079072952,-2.6593406200408936,0.095238097012043,0.13919414579868317,-2.33699631690979,0.06593406945466995
-0.06593406945466995,-2.732600688934326,0.1684981733560562,0.12942613661289215,-2.4004883766174316,0.061050061136484146
-0.13919414579868317,-2.6593406200408936,0.3003663122653961,0.11965811997652054,-2.444444417953491,0.05128205195069313
-0.1538461595773697,-2.249084234237671,0.095238097012043,0.10989011079072952,-2.4737484455108643,0.04639804735779762
-0.24175824224948883,-2.527472496032715,0.1538461595773697,0.10500610619783401,-2.4786324501037598,0.041514042764902115
-0.27106228470802307,-2.952380895614624,0.19780220091342926,0.10500610619783401,-2.444444417953491,0.026862027123570442
-0.5347985625267029,-3.597069501876831,0.9743589758872986,0.08547008782625198,-2.4346764087677,0.012210012413561344
-0.2271062284708023,-3.0989010334014893,1.076923131942749,0.05616605654358864,-2.4688644409179688,0.007326007355004549
-0.4175824224948883,-2.732600688934326,0.06593406945466995,0.041514042764902115,-2.5323565006256104,-0.012210012413561344
-0.5201465487480164,-2.498168468475342,-0.007326007355004549,0.026862027123570442,-2.586080551147461,-0.0317460335791111
-0.8278388381004333,-2.527472496032715,1.0329670906066895,0.007326007355004549,-2.5714285373687744,-0.017094017937779427
-0.6813187003135681,-2.190476179122925,0.3003663122653961,-0.017094017937779427,-2.5518925189971924,-0.041514042764902115
-0.19780220091342926,-1.7069597244262695,0.18315018713474274,-0.0317460335791111,-2.5030524730682373,-0.03663003817200661
-0.6080586314201355,-1.5897436141967773,0.007326007355004549,-0.05128205195069313,-2.507936477661133,-0.06593406945466995
0.06593406945466995,-1.4725275039672852,-0.12454212456941605,-0.08058608323335648,-2.4639804363250732,-0.08058608323335648
-0.21245421469211578,-1.8827838897705078,0.622710645198822,-0.06593406945466995,-2.4004883766174316,-0.10989011079072952
-0.6520146727561951,-2.3516483306884766,1.1794872283935547,-0.04639804735779762,-2.3907203674316406,-0.10500610619783401
-0.5054945349693298,-3.4212453365325928,0.38827839493751526,-0.05616605654358864,-2.4542124271392822,-0.08058608323335648
-0.2857142984867096,-2.219780206680298,0.7838827967643738,-0.07570207864046097,-2.5714285373687744,-0.06593406945466995
-0.4761904776096344,-2.1611721515655518,0.18315018713474274,-0.05616605654358864,-2.634920597076416,-0.07570207864046097
-0.43223443627357483,-2.190476179122925,0.9743589758872986,-0.09035409241914749,-2.6691086292266846,-0.05128205195069313
-0.38827839493751526,-2.249084234237671,0.6959707140922546,-0.09035409241914749,-2.6984126567840576,-0.05616605654358864
-0.27106228470802307,-2.219780206680298,0.3003663122653961,-0.06593406945466995,-2.6788766384124756,-0.03663003817200661
-0.1684981733560562,-1.8241758346557617,0.4029304087162018,-0.05616605654358864,-2.654456615447998,-0.04639804735779762
-0.4761904776096344,-2.249084234237671,0.7106227278709412,-0.08058608323335648,-2.625152587890625,-0.041514042764902115
-0.930402934551239,-2.7472527027130127,0.095238097012043,-0.07570207864046097,-2.5811965465545654,-0.03663003817200661
-0.05128205195069313,-3.3919413089752197,0.19780220091342926,-0.07081807404756546,-2.5225884914398193,-0.0317460335791111
-0.4175824224948883,-3.0842490196228027,0.25641027092933655,-0.07081807404756546,-2.527472496032715,-0.10500610619783401
-0.3003663122653961,-2.366300344467163,0.03663003817200661,-0.07081807404756546,-2.5128204822540283,-0.12454212456941605
