q1,q2,q3,q4,q5,q6
-2.995666715709748740e+00,-1.997111143806499012e+00,-2.995666715709748740e+00,-2.496388929758123876e+00,-2.995666715709748740e+00,-1.997111143806499012e+00,-2.995666715709748740e+00
-2.995408068118029732e+00,-1.996938712078686340e+00,-2.995408068118029732e+00,-2.496173390098357814e+00,-2.995408068118029732e+00,-1.996938712078686340e+00,-2.995408068118029732e+00
-2.995141923494666347e+00,-1.996761282329777565e+00,-2.995141923494666347e+00,-2.495951602912221734e+00,-2.995141923494666347e+00,-1.996761282329777565e+00,-2.995141923494666347e+00
-2.994868281839659030e+00,-1.996578854559772687e+00,-2.994868281839659030e+00,-2.495723568199716080e+00,-2.994868281839659030e+00,-1.996578854559772687e+00,-2.994868281839659030e+00
-2.994587143153007780e+00,-1.996391428768671927e+00,-2.994587143153007780e+00,-2.495489285960839965e+00,-2.994587143153007780e+00,-1.996391428768671927e+00,-2.994587143153007780e+00
-2.994298507434712597e+00,-1.996199004956475065e+00,-2.994298507434712597e+00,-2.495248756195593831e+00,-2.994298507434712597e+00,-1.996199004956475065e+00,-2.994298507434712597e+00
-2.994002374684773038e+00,-1.996001583123182099e+00,-2.994002374684773038e+00,-2.495001978903977680e+00,-2.994002374684773038e+00,-1.996001583123182099e+00,-2.994002374684773038e+00
-2.993698744903189990e+00,-1.995799163268793253e+00,-2.993698744903189990e+00,-2.494748954085991510e+00,-2.993698744903189990e+00,-1.995799163268793253e+00,-2.993698744903189990e+00
-2.993387618089962565e+00,-1.995591745393308303e+00,-2.993387618089962565e+00,-2.494489681741635323e+00,-2.993387618089962565e+00,-1.995591745393308303e+00,-2.993387618089962565e+00
-2.993068994245091208e+00,-1.995379329496727472e+00,-2.993068994245091208e+00,-2.494224161870909118e+00,-2.993068994245091208e+00,-1.995379329496727472e+00,-2.993068994245091208e+00
-2.992742873368575474e+00,-1.995161915579050316e+00,-2.992742873368575474e+00,-2.493952394473812895e+00,-2.992742873368575474e+00,-1.995161915579050316e+00,-2.992742873368575474e+00
-2.992409255460416251e+00,-1.994939503640277501e+00,-2.992409255460416251e+00,-2.493674379550346654e+00,-2.992409255460416251e+00,-1.994939503640277501e+00,-2.992409255460416251e+00
-2.992068140520612651e+00,-1.994712093680408360e+00,-2.992068140520612651e+00,-2.493390117100510395e+00,-2.992068140520612651e+00,-1.994712093680408360e+00,-2.992068140520612651e+00
-2.991719528549165119e+00,-1.994479685699443339e+00,-2.991719528549165119e+00,-2.493099607124304118e+00,-2.991719528549165119e+00,-1.994479685699443339e+00,-2.991719528549165119e+00
-2.991363419546073654e+00,-1.994242279697382214e+00,-2.991363419546073654e+00,-2.492802849621727823e+00,-2.991363419546073654e+00,-1.994242279697382214e+00,-2.991363419546073654e+00
-2.990999813511337813e+00,-1.993999875674225208e+00,-2.990999813511337813e+00,-2.492499844592781510e+00,-2.990999813511337813e+00,-1.993999875674225208e+00,-2.990999813511337813e+00
-2.990628710444958038e+00,-1.993752473629972100e+00,-2.990628710444958038e+00,-2.492190592037465180e+00,-2.990628710444958038e+00,-1.993752473629972100e+00,-2.990628710444958038e+00
-2.990250110346934331e+00,-1.993500073564623110e+00,-2.990250110346934331e+00,-2.491875091955778831e+00,-2.990250110346934331e+00,-1.993500073564623110e+00,-2.990250110346934331e+00
-2.989864013217266692e+00,-1.993242675478177794e+00,-2.989864013217266692e+00,-2.491553344347722465e+00,-2.989864013217266692e+00,-1.993242675478177794e+00,-2.989864013217266692e+00
-2.989470419055955119e+00,-1.992980279370636598e+00,-2.989470419055955119e+00,-2.491225349213296081e+00,-2.989470419055955119e+00,-1.992980279370636598e+00,-2.989470419055955119e+00
-2.989069327862999170e+00,-1.992712885241999521e+00,-2.989069327862999170e+00,-2.490891106552499235e+00,-2.989069327862999170e+00,-1.992712885241999521e+00,-2.989069327862999170e+00
-2.988660739638399289e+00,-1.992440493092266340e+00,-2.988660739638399289e+00,-2.490550616365332814e+00,-2.988660739638399289e+00,-1.992440493092266340e+00,-2.988660739638399289e+00
-2.988244654382155474e+00,-1.992163102921437057e+00,-2.988244654382155474e+00,-2.490203878651796376e+00,-2.988244654382155474e+00,-1.992163102921437057e+00,-2.988244654382155474e+00
-2.987821072094267727e+00,-1.991880714729511892e+00,-2.987821072094267727e+00,-2.489850893411889921e+00,-2.987821072094267727e+00,-1.991880714729511892e+00,-2.987821072094267727e+00
-2.987389992774735603e+00,-1.991593328516490402e+00,-2.987389992774735603e+00,-2.489491660645613003e+00,-2.987389992774735603e+00,-1.991593328516490402e+00,-2.987389992774735603e+00
-2.986951416423559991e+00,-1.991300944282373253e+00,-2.986951416423559991e+00,-2.489126180352966511e+00,-2.986951416423559991e+00,-1.991300944282373253e+00,-2.986951416423559991e+00
-2.986505343040740001e+00,-1.991003562027159779e+00,-2.986505343040740001e+00,-2.488754452533950001e+00,-2.986505343040740001e+00,-1.991003562027159779e+00,-2.986505343040740001e+00
-2.986051772626275636e+00,-1.990701181750850424e+00,-2.986051772626275636e+00,-2.488376477188563030e+00,-2.986051772626275636e+00,-1.990701181750850424e+00,-2.986051772626275636e+00
-2.985590705180167781e+00,-1.990393803453445187e+00,-2.985590705180167781e+00,-2.487992254316806484e+00,-2.985590705180167781e+00,-1.990393803453445187e+00,-2.985590705180167781e+00
-2.985122140702415550e+00,-1.990081427134943848e+00,-2.985122140702415550e+00,-2.487601783918679477e+00,-2.985122140702415550e+00,-1.990081427134943848e+00,-2.985122140702415550e+00
-2.984646079193019386e+00,-1.989764052795346405e+00,-2.984646079193019386e+00,-2.487205065994182895e+00,-2.984646079193019386e+00,-1.989764052795346405e+00,-2.984646079193019386e+00
-2.984162520651979289e+00,-1.989441680434652859e+00,-2.984162520651979289e+00,-2.486802100543316296e+00,-2.984162520651979289e+00,-1.989441680434652859e+00,-2.984162520651979289e+00
-2.983671465079295260e+00,-1.989114310052863432e+00,-2.983671465079295260e+00,-2.486392887566079235e+00,-2.983671465079295260e+00,-1.989114310052863432e+00,-2.983671465079295260e+00
-2.983172912474966854e+00,-1.988781941649977902e+00,-2.983172912474966854e+00,-2.485977427062472600e+00,-2.983172912474966854e+00,-1.988781941649977902e+00,-2.983172912474966854e+00
-2.982666862838994515e+00,-1.988444575225996491e+00,-2.982666862838994515e+00,-2.485555719032495503e+00,-2.982666862838994515e+00,-1.988444575225996491e+00,-2.982666862838994515e+00
-2.982153316171378243e+00,-1.988102210780918977e+00,-2.982153316171378243e+00,-2.485127763476148832e+00,-2.982153316171378243e+00,-1.988102210780918977e+00,-2.982153316171378243e+00
-2.981632272472118039e+00,-1.987754848314745360e+00,-2.981632272472118039e+00,-2.484693560393431699e+00,-2.981632272472118039e+00,-1.987754848314745360e+00,-2.981632272472118039e+00
-2.981103731741213902e+00,-1.987402487827475861e+00,-2.981103731741213902e+00,-2.484253109784344549e+00,-2.981103731741213902e+00,-1.987402487827475861e+00,-2.981103731741213902e+00
-2.980567693978665389e+00,-1.987045129319110259e+00,-2.980567693978665389e+00,-2.483806411648887824e+00,-2.980567693978665389e+00,-1.987045129319110259e+00,-2.980567693978665389e+00
-2.980024159184472943e+00,-1.986682772789648554e+00,-2.980024159184472943e+00,-2.483353465987060638e+00,-2.980024159184472943e+00,-1.986682772789648554e+00,-2.980024159184472943e+00
-2.979473127358636564e+00,-1.986315418239090969e+00,-2.979473127358636564e+00,-2.482894272798863877e+00,-2.979473127358636564e+00,-1.986315418239090969e+00,-2.979473127358636564e+00
-2.978914598501155808e+00,-1.985943065667437279e+00,-2.978914598501155808e+00,-2.482428832084296655e+00,-2.978914598501155808e+00,-1.985943065667437279e+00,-2.978914598501155808e+00
-2.978348572612031564e+00,-1.985565715074687709e+00,-2.978348572612031564e+00,-2.481957143843359415e+00,-2.978348572612031564e+00,-1.985565715074687709e+00,-2.978348572612031564e+00
-2.977775049691262943e+00,-1.985183366460841814e+00,-2.977775049691262943e+00,-2.481479208076052601e+00,-2.977775049691262943e+00,-1.985183366460841814e+00,-2.977775049691262943e+00
-2.977194029738850389e+00,-1.984796019825900260e+00,-2.977194029738850389e+00,-2.480995024782375324e+00,-2.977194029738850389e+00,-1.984796019825900260e+00,-2.977194029738850389e+00
-2.976605512754793459e+00,-1.984403675169862380e+00,-2.976605512754793459e+00,-2.480504593962328030e+00,-2.976605512754793459e+00,-1.984403675169862380e+00,-2.976605512754793459e+00
-2.976009498739093040e+00,-1.984006332492728619e+00,-2.976009498739093040e+00,-2.480007915615910719e+00,-2.976009498739093040e+00,-1.984006332492728619e+00,-2.976009498739093040e+00
-2.975405987691748244e+00,-1.983603991794498755e+00,-2.975405987691748244e+00,-2.479504989743123389e+00,-2.975405987691748244e+00,-1.983603991794498755e+00,-2.975405987691748244e+00
-2.974794979612759516e+00,-1.983196653075173010e+00,-2.974794979612759516e+00,-2.478995816343966485e+00,-2.974794979612759516e+00,-1.983196653075173010e+00,-2.974794979612759516e+00
-2.974176474502126855e+00,-1.982784316334751162e+00,-2.974176474502126855e+00,-2.478480395418439119e+00,-2.974176474502126855e+00,-1.982784316334751162e+00,-2.974176474502126855e+00
-2.973550472359849817e+00,-1.982366981573233433e+00,-2.973550472359849817e+00,-2.477958726966541736e+00,-2.973550472359849817e+00,-1.982366981573233433e+00,-2.973550472359849817e+00
-2.972916973185929290e+00,-1.981944648790619379e+00,-2.972916973185929290e+00,-2.477430810988274335e+00,-2.972916973185929290e+00,-1.981944648790619379e+00,-2.972916973185929290e+00
-2.972275976980364387e+00,-1.981517317986909443e+00,-2.972275976980364387e+00,-2.476896647483636915e+00,-2.972275976980364387e+00,-1.981517317986909443e+00,-2.972275976980364387e+00
-2.971627483743155551e+00,-1.981084989162103627e+00,-2.971627483743155551e+00,-2.476356236452629478e+00,-2.971627483743155551e+00,-1.981084989162103627e+00,-2.971627483743155551e+00
-2.970971493474302338e+00,-1.980647662316201707e+00,-2.970971493474302338e+00,-2.475809577895252023e+00,-2.970971493474302338e+00,-1.980647662316201707e+00,-2.970971493474302338e+00
-2.970308006173805637e+00,-1.980205337449203684e+00,-2.970308006173805637e+00,-2.475256671811504550e+00,-2.970308006173805637e+00,-1.980205337449203684e+00,-2.970308006173805637e+00
-2.969637021841664559e+00,-1.979758014561109780e+00,-2.969637021841664559e+00,-2.474697518201387059e+00,-2.969637021841664559e+00,-1.979758014561109780e+00,-2.969637021841664559e+00
-2.968958540477879549e+00,-1.979305693651919773e+00,-2.968958540477879549e+00,-2.474132117064899550e+00,-2.968958540477879549e+00,-1.979305693651919773e+00,-2.968958540477879549e+00
-2.968272562082450605e+00,-1.978848374721633663e+00,-2.968272562082450605e+00,-2.473560468402042023e+00,-2.968272562082450605e+00,-1.978848374721633663e+00,-2.968272562082450605e+00
-2.967579086655377285e+00,-1.978386057770251671e+00,-2.967579086655377285e+00,-2.472982572212814478e+00,-2.967579086655377285e+00,-1.978386057770251671e+00,-2.967579086655377285e+00
-2.966878114196660476e+00,-1.977918742797773577e+00,-2.966878114196660476e+00,-2.472398428497216916e+00,-2.966878114196660476e+00,-1.977918742797773577e+00,-2.966878114196660476e+00
-2.966169644706299291e+00,-1.977446429804199379e+00,-2.966169644706299291e+00,-2.471808037255249335e+00,-2.966169644706299291e+00,-1.977446429804199379e+00,-2.966169644706299291e+00
-2.965453678184293729e+00,-1.976969118789529301e+00,-2.965453678184293729e+00,-2.471211398486911737e+00,-2.965453678184293729e+00,-1.976969118789529301e+00,-2.965453678184293729e+00
-2.964730214630644678e+00,-1.976486809753763119e+00,-2.964730214630644678e+00,-2.470608512192203676e+00,-2.964730214630644678e+00,-1.976486809753763119e+00,-2.964730214630644678e+00
-2.963999254045351250e+00,-1.975999502696900834e+00,-2.963999254045351250e+00,-2.469999378371126042e+00,-2.963999254045351250e+00,-1.975999502696900834e+00,-2.963999254045351250e+00
-2.963260796428414334e+00,-1.975507197618942667e+00,-2.963260796428414334e+00,-2.469383997023678390e+00,-2.963260796428414334e+00,-1.975507197618942667e+00,-2.963260796428414334e+00
-2.962514841779832597e+00,-1.975009894519888620e+00,-2.962514841779832597e+00,-2.468762368149860720e+00,-2.962514841779832597e+00,-1.975009894519888620e+00,-2.962514841779832597e+00
-2.961761390099607372e+00,-1.974507593399738248e+00,-2.961761390099607372e+00,-2.468134491749673032e+00,-2.961761390099607372e+00,-1.974507593399738248e+00,-2.961761390099607372e+00
-2.961000441387738213e+00,-1.974000294258491994e+00,-2.961000441387738213e+00,-2.467500367823114882e+00,-2.961000441387738213e+00,-1.974000294258491994e+00,-2.961000441387738213e+00
-2.960231995644224678e+00,-1.973487997096149638e+00,-2.960231995644224678e+00,-2.466859996370187158e+00,-2.960231995644224678e+00,-1.973487997096149638e+00,-2.960231995644224678e+00
-2.959456052869067211e+00,-1.972970701912711400e+00,-2.959456052869067211e+00,-2.466213377390889416e+00,-2.959456052869067211e+00,-1.972970701912711400e+00,-2.959456052869067211e+00
-2.958672613062265810e+00,-1.972448408708177059e+00,-2.958672613062265810e+00,-2.465560510885221213e+00,-2.958672613062265810e+00,-1.972448408708177059e+00,-2.958672613062265810e+00
-2.957881676223820033e+00,-1.971921117482546837e+00,-2.957881676223820033e+00,-2.464901396853183435e+00,-2.957881676223820033e+00,-1.971921117482546837e+00,-2.957881676223820033e+00
-2.957083242353730768e+00,-1.971388828235820290e+00,-2.957083242353730768e+00,-2.464236035294775640e+00,-2.957083242353730768e+00,-1.971388828235820290e+00,-2.957083242353730768e+00
-2.956277311451997125e+00,-1.970851540967998083e+00,-2.956277311451997125e+00,-2.463564426209997382e+00,-2.956277311451997125e+00,-1.970851540967998083e+00,-2.956277311451997125e+00
-2.955463883518619550e+00,-1.970309255679079552e+00,-2.955463883518619550e+00,-2.462886569598849551e+00,-2.955463883518619550e+00,-1.970309255679079552e+00,-2.955463883518619550e+00
-2.954642958553597598e+00,-1.969761972369065139e+00,-2.954642958553597598e+00,-2.462202465461331258e+00,-2.954642958553597598e+00,-1.969761972369065139e+00,-2.954642958553597598e+00
-2.953814536556932158e+00,-1.969209691037954624e+00,-2.953814536556932158e+00,-2.461512113797443391e+00,-2.953814536556932158e+00,-1.969209691037954624e+00,-2.953814536556932158e+00
-2.952978617528622340e+00,-1.968652411685748227e+00,-2.952978617528622340e+00,-2.460815514607185062e+00,-2.952978617528622340e+00,-1.968652411685748227e+00,-2.952978617528622340e+00
-2.952135201468668591e+00,-1.968090134312445727e+00,-2.952135201468668591e+00,-2.460112667890557159e+00,-2.952135201468668591e+00,-1.968090134312445727e+00,-2.952135201468668591e+00
-2.951284288377070908e+00,-1.967522858918047124e+00,-2.951284288377070908e+00,-2.459403573647558794e+00,-2.951284288377070908e+00,-1.967522858918047124e+00,-2.951284288377070908e+00
-2.950425878253828849e+00,-1.966950585502552640e+00,-2.950425878253828849e+00,-2.458688231878190855e+00,-2.950425878253828849e+00,-1.966950585502552640e+00,-2.950425878253828849e+00
-2.949559971098942857e+00,-1.966373314065962052e+00,-2.949559971098942857e+00,-2.457966642582452454e+00,-2.949559971098942857e+00,-1.966373314065962052e+00,-2.949559971098942857e+00
-2.948686566912412932e+00,-1.965791044608275362e+00,-2.948686566912412932e+00,-2.457238805760344036e+00,-2.948686566912412932e+00,-1.965791044608275362e+00,-2.948686566912412932e+00
-2.947805665694239075e+00,-1.965203777129492790e+00,-2.947805665694239075e+00,-2.456504721411866043e+00,-2.947805665694239075e+00,-1.965203777129492790e+00,-2.947805665694239075e+00
-2.946917267444421284e+00,-1.964611511629614116e+00,-2.946917267444421284e+00,-2.455764389537017589e+00,-2.946917267444421284e+00,-1.964611511629614116e+00,-2.946917267444421284e+00
-2.946021372162959118e+00,-1.964014248108639560e+00,-2.946021372162959118e+00,-2.455017810135799561e+00,-2.946021372162959118e+00,-1.964014248108639560e+00,-2.946021372162959118e+00
-2.945117979849853018e+00,-1.963411986566568679e+00,-2.945117979849853018e+00,-2.454264983208211071e+00,-2.945117979849853018e+00,-1.963411986566568679e+00,-2.945117979849853018e+00
-2.944207090505102986e+00,-1.962804727003402139e+00,-2.944207090505102986e+00,-2.453505908754252562e+00,-2.944207090505102986e+00,-1.962804727003402139e+00,-2.944207090505102986e+00
-2.943288704128709021e+00,-1.962192469419139274e+00,-2.943288704128709021e+00,-2.452740586773924036e+00,-2.943288704128709021e+00,-1.962192469419139274e+00,-2.943288704128709021e+00
-2.942362820720671124e+00,-1.961575213813780527e+00,-2.942362820720671124e+00,-2.451969017267225937e+00,-2.942362820720671124e+00,-1.961575213813780527e+00,-2.942362820720671124e+00
-2.941429440280988850e+00,-1.960952960187325900e+00,-2.941429440280988850e+00,-2.451191200234157375e+00,-2.941429440280988850e+00,-1.960952960187325900e+00,-2.941429440280988850e+00
-2.940488562809662643e+00,-1.960325708539774947e+00,-2.940488562809662643e+00,-2.450407135674718795e+00,-2.940488562809662643e+00,-1.960325708539774947e+00,-2.940488562809662643e+00
-2.939540188306692503e+00,-1.959693458871128113e+00,-2.939540188306692503e+00,-2.449616823588910197e+00,-2.939540188306692503e+00,-1.959693458871128113e+00,-2.939540188306692503e+00
-2.938584316772077987e+00,-1.959056211181385398e+00,-2.938584316772077987e+00,-2.448820263976731582e+00,-2.938584316772077987e+00,-1.959056211181385398e+00,-2.938584316772077987e+00
-2.937620948205819538e+00,-1.958413965470546581e+00,-2.937620948205819538e+00,-2.448017456838182948e+00,-2.937620948205819538e+00,-1.958413965470546581e+00,-2.937620948205819538e+00
-2.936650082607917600e+00,-1.957766721738611659e+00,-2.936650082607917600e+00,-2.447208402173264297e+00,-2.936650082607917600e+00,-1.957766721738611659e+00,-2.936650082607917600e+00
-2.935671719978370842e+00,-1.957114479985580635e+00,-2.935671719978370842e+00,-2.446393099981976071e+00,-2.935671719978370842e+00,-1.957114479985580635e+00,-2.935671719978370842e+00
-2.934685860317180595e+00,-1.956457240211453730e+00,-2.934685860317180595e+00,-2.445571550264317384e+00,-2.934685860317180595e+00,-1.956457240211453730e+00,-2.934685860317180595e+00
-2.933692503624346415e+00,-1.955795002416230721e+00,-2.933692503624346415e+00,-2.444743753020288679e+00,-2.933692503624346415e+00,-1.955795002416230721e+00,-2.933692503624346415e+00
-2.932691649899867858e+00,-1.955127766599911832e+00,-2.932691649899867858e+00,-2.443909708249889956e+00,-2.932691649899867858e+00,-1.955127766599911832e+00,-2.932691649899867858e+00
-2.931683299143745369e+00,-1.954455532762496839e+00,-2.931683299143745369e+00,-2.443069415953121215e+00,-2.931683299143745369e+00,-1.954455532762496839e+00,-2.931683299143745369e+00
-2.930667451355978947e+00,-1.953778300903985743e+00,-2.930667451355978947e+00,-2.442222876129982456e+00,-2.930667451355978947e+00,-1.953778300903985743e+00,-2.930667451355978947e+00
-2.929644106536568149e+00,-1.953096071024378766e+00,-2.929644106536568149e+00,-2.441370088780473679e+00,-2.929644106536568149e+00,-1.953096071024378766e+00,-2.929644106536568149e+00
-2.928613264685513418e+00,-1.952408843123675686e+00,-2.928613264685513418e+00,-2.440511053904594441e+00,-2.928613264685513418e+00,-1.952408843123675686e+00,-2.928613264685513418e+00
-2.927574925802814754e+00,-1.951716617201876502e+00,-2.927574925802814754e+00,-2.439645771502345628e+00,-2.927574925802814754e+00,-1.951716617201876502e+00,-2.927574925802814754e+00
-2.926529089888472157e+00,-1.951019393258981438e+00,-2.926529089888472157e+00,-2.438774241573726798e+00,-2.926529089888472157e+00,-1.951019393258981438e+00,-2.926529089888472157e+00
-2.925475756942485628e+00,-1.950317171294990271e+00,-2.925475756942485628e+00,-2.437896464118737949e+00,-2.925475756942485628e+00,-1.950317171294990271e+00,-2.925475756942485628e+00
-2.924414926964854722e+00,-1.949609951309903222e+00,-2.924414926964854722e+00,-2.437012439137379083e+00,-2.924414926964854722e+00,-1.949609951309903222e+00,-2.924414926964854722e+00
-2.923346599955579883e+00,-1.948897733303720070e+00,-2.923346599955579883e+00,-2.436122166629650199e+00,-2.923346599955579883e+00,-1.948897733303720070e+00,-2.923346599955579883e+00
-2.922270775914661112e+00,-1.948180517276440815e+00,-2.922270775914661112e+00,-2.435225646595550852e+00,-2.922270775914661112e+00,-1.948180517276440815e+00,-2.922270775914661112e+00
-2.921187454842098408e+00,-1.947458303228065679e+00,-2.921187454842098408e+00,-2.434322879035081932e+00,-2.921187454842098408e+00,-1.947458303228065679e+00,-2.921187454842098408e+00
-2.920096636737891771e+00,-1.946731091158594440e+00,-2.920096636737891771e+00,-2.433413863948242994e+00,-2.920096636737891771e+00,-1.946731091158594440e+00,-2.920096636737891771e+00
-2.918998321602040757e+00,-1.945998881068027098e+00,-2.918998321602040757e+00,-2.432498601335034039e+00,-2.918998321602040757e+00,-1.945998881068027098e+00,-2.918998321602040757e+00
-2.917892509434545811e+00,-1.945261672956363874e+00,-2.917892509434545811e+00,-2.431577091195454621e+00,-2.917892509434545811e+00,-1.945261672956363874e+00,-2.917892509434545811e+00
-2.916779200235406933e+00,-1.944519466823604548e+00,-2.916779200235406933e+00,-2.430649333529505629e+00,-2.916779200235406933e+00,-1.944519466823604548e+00,-2.916779200235406933e+00
-2.915658394004623677e+00,-1.943772262669749118e+00,-2.915658394004623677e+00,-2.429715328337186619e+00,-2.915658394004623677e+00,-1.943772262669749118e+00,-2.915658394004623677e+00
-2.914530090742196933e+00,-1.943020060494797807e+00,-2.914530090742196933e+00,-2.428775075618497148e+00,-2.914530090742196933e+00,-1.943020060494797807e+00,-2.914530090742196933e+00
-2.913394290448125812e+00,-1.942262860298750393e+00,-2.913394290448125812e+00,-2.427828575373438103e+00,-2.913394290448125812e+00,-1.942262860298750393e+00,-2.913394290448125812e+00
