tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2396183106011693,14.865474587827748,-0.45130604481965014,2.9842302447860067,0.15403016194712466,0.9385938449595016,0.003319569548313451
2.23964228506985,14.86551354158243,-0.4513506037086572,2.9841923447988266,0.15403417348207463,0.9385912363062063,0.0033196399533006664
2.2396868067471214,14.865573920720424,-0.4514247460526572,2.984124417621832,0.15404096649000665,0.9385867954663518,0.0033197724977066375
2.239751874852075,14.865655717086087,-0.45152847511694727,2.9840264641909693,0.15405054127499435,0.9385805216835307,0.003319967183276779
2.239837485779846,14.865758919854322,-0.45166179503496,2.983898485892537,0.1540628981440671,0.9385724139519667,0.003320224009597623
2.2399436352713593,14.865883514157472,-0.45182471118154466,2.9837404846074302,0.15407803750876523,0.9385624708995779,0.0033205429766673504
2.240070318828153,14.866029482123853,-0.4520172302642093,2.983552462315315,0.15409595991603947,0.9385506908664552,0.0033209240852889884
2.2402175305984615,14.866196802934741,-0.45223936008416865,2.983334422144283,0.1541166659785647,0.9385370719148688,0.003321367336018435
2.240385263292958,14.866385451784682,-0.45249110957898153,2.9830863669541885,0.1541401563840727,0.9385216117488147,0.0033218727286959443
2.240573510177488,14.866595400902286,-0.45277248912658624,2.9828083004095576,0.1541664319857659,0.9385043077837678,0.003322440265079738
2.240782261704697,14.866826619519731,-0.4530835099720828,2.9825002266294227,0.15419549363757276,0.9384851571605639,0.003323069944767857
2.241011509050209,14.867079072795901,-0.45342418485705194,2.9821621498216886,0.15422734237088723,0.9384641566447649,0.003323761769280073
2.2412612410977237,14.867352723462012,-0.45379452745101556,2.98179407536566,0.1542619792365539,0.9384413027690821,0.003324515738771033
2.241531447468886,14.867647530154544,-0.4541945529329367,2.9813960084564,0.1542994054664351,0.9384165916892397,0.0033253318552567118
2.241822114983477,14.867963448503685,-0.4546242773479529,2.980967954756791,0.1543396222920591,0.9383900192856836,0.0033262101185927246
2.2421332310253654,14.868300431174358,-0.4550837181669502,2.9805099210340136,0.1543826311047089,0.9383615811506064,0.003327150530615401
2.2424647815620444,14.868658426828643,-0.45557289399192263,2.9800219138835877,0.1544284333676006,0.9383312725169258,0.0033281530924612435
2.242816751123542,14.86903738111571,-0.4560918245260963,2.9795039403832035,0.15447703061041201,0.9382990883353212,0.0033292178047078153
2.2431891248168156,14.869437236708269,-0.4566405308976007,2.9789560087288214,0.15452842452141527,0.9382650232674332,0.0033303446699149385
2.2435818851276284,14.86985793226242,-0.457219035152134,2.978378126958796,0.15458261679854343,0.9382290716206052,0.00333153368850099
2.2439950144716945,14.870299403412318,-0.4578273606716341,2.9777703036106122,0.1546396092727635,0.9381912274127862,0.0033327848619277823
2.2444284951780427,14.870761582805036,-0.45846553214052166,2.977132548426172,0.1546994038972774,0.9381514843754715,0.0033340981928554232
2.2448823068484702,14.871244398927683,-0.45913357515582864,2.9764648705855916,0.1547620026324698,0.9381098358754378,0.0033354736815491637
2.245356430347049,14.871747777828944,-0.4598315168327326,2.9757672809176583,0.1548274076238693,0.9380662750291715,0.0033369113311700555
2.245850843822439,14.872271641387739,-0.46055938519805534,2.975039789702682,0.15489562102311932,0.9380207945877992,0.0033384111424841676
2.246365525360502,14.872815908475735,-0.4613172095793061,2.9742824084521056,0.1549666451018611,0.9379733870146005,0.0033399731174571672
