tau1,tau2,tau3,tau4,tau5,tau6
0.0,0.0,0.0,0.0,0.0,0.0
0.06801957865001716,0.034751452718234876,5.529467657465441,0.002707053499761067,0.024308029837620152,0.0025277287251156055
0.06802016649561783,0.03484559585727687,5.529478211474334,0.002808740944057679,0.024415244973981242,0.002523895616871105
0.06802124938589958,0.03500532340981177,5.529498236477903,0.0029782461655083856,0.024594205604149655,0.002517526161680465
0.06802281220309568,0.03523055010826037,5.5295275939310295,0.003215570585564574,0.024844856016352234,0.002508621551249897
0.06802483324332567,0.035521157580576945,5.529566089931367,0.003520716181361229,0.02516711798598801,0.0024971834624364707
0.06802728420267694,0.03587699427207558,5.52961347511938,0.003893685378539005,0.02556089066412049,0.002483214062125571
0.06803013015919397,0.03629787534481932,5.529669444549611,0.004334480913486555,0.02602605043417829,0.0024667160134887486
0.06803332955079418,0.036783582554483996,5.529733637533149,0.004843105665037134,0.026562450736923156,0.0024476924836153717
0.06803683414916938,0.037333864104596826,5.529805637451353,0.005419562455663239,0.027169921863770773,0.002426147152511199
0.06804058902970722,0.037948434477968584,5.529884971540771,0.006063853822220692,0.02784827071855364,0.0024020842234544195
0.06804453253751631,0.03862697424521344,5.529971110649388,0.006775981756304627,0.028597280547845355,0.0023755084346997156
0.06804859624960465,0.03936912985014107,5.5300634689640855,0.007555947414288101,0.029416710639967276,0.00234642507251787
0.06805270493328684,0.04017451337180056,5.530161403709414,0.008403750797125216,0.030306295992820857,0.0023148399855575054
0.0680567765009505,0.04104270226300821,5.530264214817728,0.009319390400013826,0.031265746950723414,0.0022807596005156947
0.0680607219612098,0.04197323906504047,5.530371144570612,0.010302862832020258,0.032294748810403034,0.0022441909390984068
0.06806444536661425,0.04296563109824758,5.530481377211697,0.011354162405786673,0.03339296139637385,0.0022051416362549375
0.06806784375804507,0.04401935012835523,5.530594038530985,0.012473280697453506,0.034560018605916856,0.002163619959666997
0.0680708071058421,0.045133832008007024,5.5307081954205275,0.013660206076939832,0.03579552792387552,0.002119634830467705
0.06807321824789002,0.0463084762933228,5.530822855401633,0.014914923208747322,0.03709906990756066,0.0020731958451703225
0.06807495282486029,0.0475426458351178,5.5309369661238446,0.0162374125234689,0.03847019764206566,0.0020243132987830268
0.06807587921256288,0.048835666344238415,5.531049414835178,0.017627649660189114,0.03990843616622487,0.0019729982090746804
0.06807585845196694,0.05018682593088397,5.531159027824567,0.019085604880009006,0.04141328186968789,0.0019192623419763111
0.06807474417661878,0.051595374617176004,5.5312645698356135,0.020611242450910634,0.04298420186130205,0.0018631182380697546
0.06807238253818186,0.0530605238228421,5.5313647434527065,0.02220452000424198,0.044620633309379994,0.0018045792401490046
